Day,MIP-3H Gas (MCF),MIP-3H Cum Gas (MMCF)
3/17/2018,9.37,18080.49
3/18/2018,9.18,18089.67
3/19/2018,8.25,18097.92
3/20/2018,3.68,18101.6
3/21/2018,7.68,18109.28
3/22/2018,6.54,18115.82
3/23/2018,6.89,18122.71
3/24/2018,6.14,18128.85
3/25/2018,3.47,18132.32
3/26/2018,50.62,18182.94
3/27/2018,5.81,18188.75
3/28/2018,3.63,18192.38
3/29/2018,1.97,18194.35
3/30/2018,2.2,18196.55
3/31/2018,4.5,18201.05
4/1/2018,1.8,18202.85
4/2/2018,7.14,18209.99
4/3/2018,8.32,18218.31
4/4/2018,7.4,18225.71
4/5/2018,11.95,18237.66
4/6/2018,9,18246.66
4/7/2018,6.7,18253.36
4/8/2018,8.31,18261.67
4/9/2018,8.86,18270.53
4/10/2018,2.3,18272.83
4/11/2018,0.93,18273.76
4/12/2018,2.67,18276.43
4/13/2018,1.65,18278.08
4/14/2018,1.22,18279.3
4/15/2018,1.17,18280.47
4/16/2018,3.12,18283.59
4/17/2018,3.43,18287.02
4/18/2018,2.59,18289.61
4/19/2018,2.25,18291.86
4/20/2018,2.7,18294.56
4/21/2018,2.35,18296.91
4/22/2018,6.21,18303.12
4/23/2018,6.35,18309.47
4/24/2018,3.58,18313.05
4/25/2018,5.94,18318.99
4/26/2018,5.15,18324.14
4/27/2018,7.99,18332.13
4/28/2018,2.34,18334.47
4/29/2018,4.01,18338.48
4/30/2018,5.14,18343.62
5/1/2018,5.4,18349.02
