Day,MIP-3H Gas (MCF),MIP-3H Cum Gas (MMCF)
1/17/2018,3930.16,2343.643921
1/18/2018,3913.41,2347.557331
1/19/2018,3831.03,2351.388361
1/20/2018,3855.34,2355.243701
1/21/2018,3715.97,2358.959671
1/22/2018,3329.03,2362.288701
1/23/2018,3842.75,2366.131451
1/24/2018,3882.72,2370.014171
1/25/2018,3858.59,2373.872761
1/26/2018,3852.91,2377.725671
1/27/2018,3845.34,2381.571011
1/28/2018,3841.41,2385.412421
1/29/2018,3833.63,2389.246051
1/30/2018,3820.44,2393.066491
1/31/2018,3822.91,2396.889401
2/1/2018,3803.16,2400.692561
2/2/2018,3803.06,2404.495621
2/3/2018,3803.63,2408.299251
2/4/2018,3792.16,2412.091411
2/5/2018,3792.91,2415.884321
2/6/2018,3789.81,2419.674131
2/7/2018,3779.88,2423.454011
2/8/2018,3779.03,2427.233041
2/9/2018,3767.03,2431.000071
2/10/2018,3755.81,2434.755881
2/11/2018,3504.84,2438.260721
2/12/2018,3603.84,2441.864561
2/13/2018,3711.81,2445.576371
2/14/2018,3754.16,2449.330531
2/15/2018,3744.94,2453.075471
2/16/2018,3374.09,2456.449561
2/17/2018,3793.63,2460.243191
2/18/2018,3743.22,2463.986411
2/19/2018,3731.13,2467.717541
2/20/2018,3635.75,2471.353291
2/21/2018,2620.69,2473.973981
2/22/2018,3377.59,2477.351571
2/23/2018,3877.19,2481.228761
2/24/2018,3656.63,2484.885391
2/25/2018,3756.69,2488.642081
2/26/2018,3739.38,2492.381461
2/27/2018,3717.09,2496.098551
2/28/2018,3716.5,2499.815051
3/1/2018,3709,2503.531551
3/2/2018,0,2507.240551
3/3/2018,0,2507.240551
3/4/2018,0,2507.240551
